mot,lemme
ailliez,aler
noisiez,noisier1
oïsse,öir
Jehan,Jean
priveemant,priveement
Johan,Jean
Tu,tu
seroies,estre1
oir,hoir
franchise,franchise
grevainne,grevain
covandroit,covenir
leissier,
jures,jurer
aseüres,assëurer
eideras,aidier
descoverras,descovrir
mescreanz,mécréant
jur,jour
sosfrir,sofrir
leiroie,laiier2
crever,crever
feras,faire
aït,aider
pener,peiner
meison,maison
om,on
Mosterra,mostrer
Lou,le
beau,beau
mosterra,mostrer
Alons,aler
destor,détour
pené,pener
estages,estage2
ymages,image
anluminees,enluminer
chanbres,chambre1
cheminees,cheminee1
sostainne,soutain2
converse,converser
traverse,traverse1
vivra,vivre1
hon,homme
deduiz,deduit
Encor,encore
reduiz,reduit
porroiz,pöoir
cerchier,chercher
savroiz,savoir
reverchier,reverchier
soutix,sotil
trovast,trover
ceanz,çaienz
aeisiee,aaisier
esleisiee,eslaisier
verrez,voir1
porrez,pöoir
troveroiz,trover
jointure,jointure
oi,hui2
poli,polir
colorez,colorer
Johanz,Jehan
acostez,acoster
anpirier,empirier
quasser,casser
crerra,croire
overra,ovrir
desserre,desserrer
malmet,maumetre
viz,viz
vostiz,voutiz
aeisiez,aaisier
verroiz,vëoir
repaires,repaire
reposte,repondre
estuves,estuve
cuves,cuve
aeisié,aaisier
covenable,covenable
tanroiz,tenir1
delitable,délitable
mostré,mostrer
franchis,franchir
bole,bole2
Ceanz,çaienz
sole,seul
metons,mettre
issu,issir
Santé,santé
Esperiz,esperit
triste,triste
mat,matir
empererriz,empererriz
faint,feindre
demora,demeurer
Fuiez,fuir
fuiez,fuir
enuiez,enoiier
agrevee,agrever
tristes,triste
atendanz,attendre1
mires,mire1
adeser,adeser
peser,peser
Mire,mire1
Legieremant,legierement
vendra,venir
dex,deux
deçoivre,decevoir
perse,pers
merveilleuse,merveillos
Celeemant,celeement
entouchement,entoschement
plein,plein
mortel,mortel1
visiter,visiter
metoit,metre2
garroit,garir
orinal,orinail
portoit,porter1
orine,orine1
medecine,médecine1
morroit,morir
raportee,rapporter
estroitemant,estroitement
leva,lever
mandez,mander
desheite,deshaitier
pesme,pesme
respassera,respasser
passera,passer1
murmuré,murmurer
conjuré,conjurer
responent,respondre1
respasser,respasser
rendue,rendre
poinnes,peine
pasmez,pasmer
lais,lai1
Savez,savoir
destranpre,destremper1
brace,brasse
Destrempree,destremper1
batue,battre
beüe,boivre
remeüst,removoir
escorchier,escorchier
crosle,croler
crïent,crier
plorent,pleurer
deputaire,deputaire
covoiteuse,covoitos
sorprenanz,sorprendre
envieuse,envieux
saoulee,säoler
golee,golee
poïs,pöoir
sainte,saint
durast,durer
andurast,endurer
pacience,patience
gitier,jeter
ta,ton2
anviaille,envïaille
pueples,peuple1
Tordent,tordre
batent,battre
paumes,paume1
clerc,clerc
lisent,lire1
saumes,saume
Entre,entre
escriz,escrire
fisicien,physicien
Salerne,Salerne
ancien,ancien
anquierent,enquerre
ierent,être1
afolent,afoler2
confondent,confondre
respondent,répondre
Desver,desver
tire,tirer
aoverte,aovrir
avenu,avenir
endroit,endroit
dirons,dire1
volons,vouloir
dolons,doloir
agaite,agaitier
felenie,felonie
faite,faire
costumiere,costumier
lumiere,lumière
alumé,allumer
acostumé,acostumer
müer,muer
lessié,laissier
Biauté,biauté
mesconté,mesconter
periz,péril
tuez,tuer1
hez,häir
pieç,piece
fussiens,estre1
tolsist,tolir
veïssiez,voir1
meïssiez,metre2
antremeïst,entremetre
trahi,
autel,autel1
santissent,sentir
mantissent,mentir
tonant,toner
mestres,maître1
aprochiez,aprochier
atochiez,atochier
coste,coste2
Empereres,emperëor
Leisse,laissier
abeisse,abaissier
acoise,acoisier
revivre,revivre
comanderres,comandëor
lerres,larron
Faites,faire
mehaingne,mahaignier
remandront,remanoir
contredeïssent,contredire
volsissent,voloir
trestorner,trestorner
teisent,taire
descosu,descosdre
suaire,süaire
costel,coutel
Peor,pëor
esmaiez,esmayer
seüremant,sëurement
heitiee,haitier
desperez,desperer
requerez,requerre
asseürerons,assëurer
pooirs,pöoir
eiderons,aidier
amuser,amuser
prometent,prometre
antremetent,entremetre
esploiteroient,esploitier
gietent,jeter
tanra,tenir1
feront,faire
cheitive,chaitif
daigniez,deignier
faigniez,feindre
traïssiez,träir
correciee,corrocier
aiens,avoir
descovrez,descovrir
vilenemant,vilainement
donerent,
dos,dos
corroies,coroie
perent,paroir1
roies,roie
tendre,tendre1
espendre,espandre
ronpue,rompre
plaies,plaie
sort,sort
sopir,sospir
Feu,feu
plonc,plon
fondront,fondre
porchacent,porchacier
alument,alumer
fondent,fondre
ribaut,ribaut
boillant,bolir
osté,oster2
colé,coler1
plons,plon
cuivert,culvert
avoutre,avoutre
metront,metre2
rost,rost
greslie,gräillier
malmetre,maumetre
rostir,rôtir
graïllier,gräillier
dames,dame1
millier,milier
partent,partir
roverture,roverture
malaventure,malaventure
brisier,briser
desconfire,desconfire
Aportent,aporter
coigniees,coigniee
mauz,mail
fraindre,fraindre
ataindre,ataindre
desserte,deserte2
antrent,entrer
paleis,palais1
Totes,tout2
esleis,eslais
presse,presse1
anpiriee,empirier
malmise,malmettre
Arriere,ariere
paile,poêle1
rendre,rendre
mander,mander
seneschal,sénéchal
lanciez,lancier3
peçoiez,peçoiier
Cos,coup1
costez,côté
nules,nul
malemant,malement
paiemant,paiement
paiez,paiier
sosfert,sofrir
afolee,afoler1
despoire,desperer
oignemant,oignement
oint,oindre
renseveli,rensevelir
Sulie,Sulie
ransevelie,rensevelir
abeissent,abaissier
cessent,cesser
povre,pauvre
vaintra,veintre
leissera,laissier
feïs,faire
Tele,tel
portreite,portraire
apareilliee,apareillier1
tailliee,taillier1
antencion,entencïon
comança,comencier
saintuaire,saintüaire
mostier,moutier1
anfoïe,enföir2
anfuet,enföir2
morist,morir
requist,requérir
Seelez,sëeler
droiture,droiture
cemetire,cimetiere
froidure,froidure
oelle,oloir
Espant,espandre
fuelle,fueille
coute,coute
fosse,fosse
eglises,eglise
barroches,paroisse
sonoit,soner
cloches,cloche1
entremis,entremettre
maudïent,maudire
Batent,battre
memeles,mamele
preïs,prendre
gahaing,gäaing
pertes,perte
termes,terme
desfuee,desföir
colchent,couchier
aseoir,asseoir
assist,asseoir
seele,sëeler
Ovrir,ovrir
desjoindre,desjoindre
.xxx.,trente
gardent,garder
cierges,cierge2
luminaire,luminaire
Enuié,enoiier
mangié,mangier
andorment,endormir
anuitier,anuitier
fina,finer1
Armé,armer
coite,coite
clos,clore
anviron,environ
cemetires,cimetiere
dormoient,
entrast,entrer
ranpe,ramper
vergiers,vergier1
arbres,arbre
Pres,près
arbre,arbre
ovrir,ouvrir1
estaint,esteindre
portee,porter1
vainne,veine1
amortee,amorter
reclose,reclore
atochié,atochier
Adonc,adonc
dessevelissoient,dessevelir
perdra,perdre
regreter,regretter1
conforter,conforter
espargnes,espargnier
respites,respitier
despites,despire
Celes,cil
leiz,lez
forssenee,forsener
Amie,ami
retenue,retenir
amoie,aimer
estiens,estre1
Conpaingnie,compagnie
giete,jeter
foiblemant,foiblement
gaber,gaber
gab,gab
Mervoille,merveille
eschap,eschaper
depeciee,depecier
valoir,valoir
amanrai,amener
quise,quérir
essoines,essoigne
mandent,mander
malbaillie,maubaillir
garnie,garnir
letuaire,leitüaire
gaire,gaire
secort,secorre1
entrait,entrait
leituaire,leitüaire
vous,vous
Garra,garir
quinzainne,quinzaine
foiee,foiiee
anvoisiee,envoisier
Hardiemant,hardïement
ostor,ostor
duelle,doloir
Aumarie,Almarie
Marroc,Marroc
Tudele,Tudale
prisast,prisier
cenele,cenele
Avers,avoir2
avilla,avillier
Soit,estre1
amandez,amender
demandez,demander
renovelemant,renovelement
fuelles,feuille
oisel,oiseau
latin,latin
Avint,avenir
chanter,chanter
volentiers,volontiers
istroie,issir
vergier,vergier1
querra,quérir
liee,lié1
meü,movoir
reclus,reclus
herbergier,herbergier
ante,ente
chargiee,chargier
foillue,foillu
estandue,estendre
rain,raim
duit,duire1
pandoient,pendre
baissoient,baissier
cime,cime
nessoient,naistre
praiax,präel
delitables,délitable
conpasser,compasser
branches,branche
duire,duire
montast,
despleise,desplaire
anbracier,embracier
gibier,gibier
esprevier,esprevier
brachet,brachet
aloe,aller
machet,machet
quaille,caille
perdriz,perdriz
trace,trace1
Trace,Thrace
Bachelers,bacheler
juenes,juene
anvoisiez,envoisier
prisiez,prisier
gibiers,gibier
Bertranz,Bertrant
Essorez,essorer
espreviers,esprevier
aloete,alöete
malbailli,maubaillir
descendre,descendre
Soz,sous
cesti,cest
Veraiemant,veraiement
poire,poire
destele,desteler1
oroille,oreillier1
esvoille,esveillier
Bertran,Bertran
crie,crïer2
Vez,vëoir
eschape,eschaper
Cheü,chëoir
trape,trape
veüz,voir1
aparceüz,apercevoir
aportee,aporter
janbe,jambe
raim,raim
fenoil,fenoil
malmis,malmettre
esclopez,escloper
afolé,afoler1
contez,conter
Jusque,jusque
palefroi,palefroi
esfroi,esfroi
plainz,plaindre
enpererriz,empererriz
esbolie,esbolir
consoillent,conseillier1
esmuevent,esmovoir
arbaleste,arbaleste
Lier,liier3
pendre,pendre
ardoir,ardre
vanter,vanter
sosferte,sofrir
Randue,rendre
receté,receter
mantirai,mentir
muir,mourir
vengera,
morrez,morir
Avras,avoir
provez,prover
pansoie,penser
seras,être1
devenuz,devenir
Di,dire1
Feroie,faire
anseigneroie,enseignier
Anteimes,enteimes
jalos,jalos
beüstes,boivre
Engigniez,engignier1
feïstes,faire
dormistes,dormir
songier,songier
songes,songe
avenist,advenir
crut,croître
refusasse,refuser
encusasse,encuser
ramentoivre,ramentevoir
deçut,décevoir
Eü,avoir
vengence,venjance
viltence,viltance
fortraite,forstraire
Chastel,chastel
amanra,amener
trovoient,trouver
sauveté,sauveté
conduiroient,conduire
ramenassent,ramener
chaciez,chacier
esforz,effort2
devisent,deviser
silt,sivre
quist,quérir
clamor,clameur1
desheritemant,desiretement
desleaumant,deslëaument
navie,navie1
emplira,emplir
Mil,mille1
bors,bourg
oblié,oblïer
semondre,semondre
dromonz,dromont
galies,galée1
targes,targe
emplir,emplir
chargier,chargier
ostoier,
aparoil,apareil
paroil,pareil
Cesar,Cesar
Flandres,Flandre
desi,deci
Espaigne,Espagne
respitierent,respitier
retindrent,retenir
Tesmoinz,tesmoin
queroient,querre
quistrent,quérir
demenerent,
abandonee,abandoner
but,boivre
manja,mangier
huem,homme
forssenez,forsener
revenez,revenir
desirrent,desirrer
Empereor,emperëor
esloignassent,esloignier
esmeüst,esmovoir
remeise,remanoir
Atornez,atorner
reçurent,recevoir
En.ii.,ambedos
mescrut,mescroire
querela,quereler
tenues,tenir
decevoir,décevoir
ramantevoir,ramentevoir
Primes,primes1
haute,haut
hasle,hasle
masle,masle
chastrez,chastrer
lien,liien
fenist,finir
Crestien,Crestiien
XXIIIIe,
CCCIIIIxx,
MONS.,
VIe,sixième
AN,an
DE,de
GRACE,grâce
MIL,mille1
TROIS,trois
CENS,cent
QUATRE,quatre
VINS,vingt
ET,et
NEUF,neuf2
lundi,lundi
VJe,
jour,jour
septembre,septembre
jugement,jugement
sur,sur1
carreaux,carreau
mons.,
prevost,prevost
presens,
maistres,maître1
Guillaume,Guillaume
Porel,Porel
conseiller,conseiller1
du,de.le
roy,
parlement,parlement
Dreue,Dreue
Ars,Ars
auditeur,auditeur
Chastellet,Châtelet
lieutenant,
dudit,de.ledit
Andry,Andry
Preux,Preux
procureur,
oudit,en1.ledit
Denis,Denis
Bausmes,Bausme
advocat,avocat
illec,illuec
Symon,Simon
Verrue,Verrue
escuïer,écuyer
parroisse,paroisse
Marigny,Marigny
à,à
lieues,lieue
Poitiers,Poitiers
prisonnier,
admené,amener
envoïé,envoyer
ledit,
maistre,maître1
maire,major
juridicion,juridiction
Saint-Magloire,Saint-Magloire
esquelles,en1.lequel
detenu,detenir
pour,pour
cause,cause
heures,heure
prinses,prendre
emblées,embler
comme,comme
disoit,dire1
ycellui,
voulu,
proceder,procéder
examen,examen
interrogatoire,interrogatoire
estat,état
renommée,
manière,manière
comment,comment2
où,
icelles,cil
advoué,avouer1
gentilhomme,gentilhomme
lignée,lignée
personne,
congnoistre,
eust,avoir1
audit,ouïr
congneust,connaître
delivrance,delivrance
jusques,jusque
ad,avoir1
prouvée,prouver
noblesse,noblesse
laquelle,
nyée,nier1
nous,nous
sauf,sauf
icellui,cil
cas,châtelain
uqe,que
prouveroit,prouver
alleguée,alléguer
feust,être1
rendus,rendre
subjet,sujet2
justiçable,justiciable
prins,
haulte,
justice,justice
requerant,
donnast,donner
convenir,convenir
lequel,lequel
interrogué,interroger
serement,
confessa,confesser
advoua,avouer1
homme,homme
oy,
pays,
gens,gens
eu,je
autrement,autrement
rapportoit,rapporter
Gouffier,Gouffier
deposeroit,déposer2
oultre,
congnut,
espace,espace
ans,an
chevauché,chevaucher
avecques,avec
plusieurs,plusieurs
escuïers,écuyer
present,présent2
record,recorder1
noms,
pendant,pendre
temps,temps
lieux,
fois,fois
quantité,quantité
vivres,vivre2
denrées,denrée
pain,pain
oës,œuf
poulles,poule1
poussins,poussin
pigons,pigeon
moutons,
fain,faim
avene,avoine
ès,en1.le
hostelz,hôtel1
bonnes,bon
demourans,demeurer
plat,plat
païast,payer
oncques,
maille,maillier1
aussi,aussi
environ,environ
estant,ester
ville,ville
Chanevoles,Chanevoles
print,
embla,embler
hostel,hôtel1
sienne,
parente,
nommée,
Jehanne,Jeanne
coustepointe,courtepointe
vendi,vendre
IJ,
desquelx,
deux,deux
acheta,acheter
chausses,chausse
solers,soulier
ilec,illuec
abbaye,
religion,religion
appelle,
Croix,croix
Gironde,Géronce
ouquel,en1.lequel
prieur,prieur1
icelle,cil
chaval,cheval
bay,
seellé,
bridé,brider
XXX,trente
s.,sou1
t.,
Chasteauleraut,Chasteauleraut
somme,somme3
XV,quinze
ladite,ledit
demouré,
prenist,prendre
dessus,
maniere,manière
acoustumé,
boire,boire1
mit,mettre
selle,selle
emmena,emmener
cinq,cinq
sepmaines,
sien,sien
demourant,
lieu,lieu1
trouva,
certain,certain
cisel,ciseau
tranchant,trenchier1
mussa,musser
intencion,
veoit,voir1
peust,pouvoir2
ouvrir,ouvrir1
aucunes,
serrures,serrure
coffres,coffre
appliquer,appliquer
prouffit,profit
trouveroit,trouver
yceulx,cil
jours,jour
Saint-Denis,Saint-Denis
heure,heure
eglise,église
auprès,auprès
chappelles,chapelet1
estans,être1
aumaille,aumaille2
ycellle,cil
chappelle,
ouverte,ouvrir1
ayde,
grosse,gros
joignant,joindre
monta,monter
uys,huis
aumaile,aumaille2
lesquelles,
jà,jà
y,i2
galice,calice
aournemens,aornement2
église,église
Saint-Marcel-lez-Paris,Saint-Marcel-lès-Paris
taverne,taverne
compaignie,compagne
scet,
entente,entente
auroit,avoir1
beu,
Saint-Marcel,Saint-Marcel
soy,
Mais,mais1
après,
S.,
Magloire,Magloire
quoy,
deist,dire1
gouvernement,
maiz,mais1
pou,peu
homs,
reputé,
reputoit,
advouoit,avouer1
VEUE,voir1
LA,le
CONFESSION,confession
duquel,de.lequel
demanda,demander
ausdiz,à.ledit
assistens,assistant
conseillers,conseiller1
bon,bon
fere,faire
Simon,Simon
procederoit,procéder
lesquelx,
tous,tout2
oppinion,opinion
delibererent,délibérer
question,question
crymes,crime
larrecins,larcin
faiz,faire
condempné,condamner
EN,en2
ENTERINANT,entériner
LEQUEL,lequel
JUGEMENT,jugement
tresteau,tréteau
Chinon,Chinon
Signy,Signy
cousin,
germain,germain
houppelande,houppelande
engletine,englantine
fourrée,fourrer2
connins,connin
petite,petit
cote,cotte
chapperon,chaperon
coffre,coffre
froissa,froisser
parent,parent
rompi,rompre
ZZZlX,soixante
sols,sou1
menue,menu
monnoye,
houppellande,houppelande
resqueux,rescourre
hostez,ôter
sondit,sondit
deçà,deçà
emmi,enmi
champs,champ
là,là
poursuïoit,poursuivre
ataigny,atteindre
Lequel,lequel
sesdiz,sondit
lessa,laissier
voult,vouloir
dommage,
destourbier,détourber
encores,encore
Lencloistre,Lencloître
arriva,
depuis,
party,
chambres,
leans,léans
cuevre-chefs,couvre-chef
lin,lin1
ycelle,
chambre,chambre
despeça,dépecer
pieces,pièce
dehors,dehors
gaiges,gage
appellé,
Mermignac,Mermignac
douze,douze
despendu,dépendre3
nuis,nuit
mengé,manger
sec,sec
gehine,genine
chauffer,chauffer
cuisine,cuisine
auquel,
persevera,persévérer
continua,continuer
esdites,en1.ledit
confessions,confession
aumailes,aumaille2
logez,loger
ycelles,
rompues,rompre
trouvé,trouver
X,dix
envelopez,envelopper
drapeau,drapeau
linge,linge1
enté,enter
bouté,bouter1
gan,gant
appartenans,
chasubles,chasuble
Congnut,connaître
demi,demi
retrayent,retraire
leurs,leur2
vouloit,vouloir
yssir,
apperçut,apercevoir
perche,perche2
robe,robe
burel,bureau
grise,gris
femme,femme
tira,tirer
emporta,emporter
mucer,musser
chesne,chaisne
sengle,sangle2
fourreure,fourrure
doubleure,doublure
partement,partement
rouste,route
nommé,nommer
Grantisel,Grantisel
quatrevins,quatre-vingts
premierement,premièrement
osta,oster2
annel,agneau
très,
groz,gros
pelle,perle
poiz,poids
religieux,religieux
congnoissance,connaissance
morel,moreau
sellé,seller
chevauchoit,chevauchier
service,
IIIJ,
l.,
tournois,tournois1
seigneur,seigneur
Clervaut,Clervaux
APRèS,après
LESQUELLES,lequel
CONFESSIONS,confession
recitées,réciter
presence,présence
desdiz,de.ledit
poursuir,poursuivre
souffrist,souffrir
raison,raison
luy,
données,
lettres,lettre
portast,porter1
prejudice,
voulsist,vouloir
consentir,consentir
justicié,justicier2
souveraine,souverain
conseil,conseil
aux,
rapporta,rapporter
consentoit,consentir
sadite,sondit
pourveu,
lesdiz,ledit
verroient,vëoir
deportant,déporter
cy,
CE,ce1
FAIT,faire
honorables,honorable
hommes,homme
Delcy,Delcy
Jaques,Jacques
Boys,bois
advocaz,avocat
P.,Pierre
Gilbert,Gilbert
Robert,Robert
Pacy,Pacy
Girart,
Haye,Haye
Tuillieres,Tuillières
Soudant,Soudant
Oudart,Oudart
Fontenoy,Fontenoy
Nicolas,
Chaon,Chaon
Arnoul,Arnould
Villers,Villers
Bar,
Petit-Clerc,Petit-Clerc
examinateurs,examinateur
advis,avis
oppinions,opinion
larron,larron
reiteracions,réitération
commis,
dignes,digne
recevoir,recevoir
demerites,démérite
assavoir,
pendus,pendre
Veues,voir1
oyes,ouïr
condempna,condamner
executé,exécuter
dessusdit,dessus-dit
AL.,
CACHEMARéE,Cachemarée
mercredi,mercredi
attaint,
Adenet,Adenet
Bryois,Brioys
Geffroy,Geoffroy
Meaux,Meaux
sellier,sellier
garanti,garantir
frain,frein
mule,moelle
vendu,vendre
officiers,officier1
Dampmartin,Dammartin
dient,dire1
leur,leur2
emblé,
juré,jurer
afferma,
labeur,labeur
ouvrier,ouvrier1
basses,bas
euvres,oeuvre
halles,halle
compaignon,
congnoist,connaître
nom,nom
mencion,
vendre,vendre
recevroit,recevoir
apportast,apporter
apporta,apporter
dix,dix
parisis,parisis
cellui,
LE,le
JEUDI,jeudi
IXe,
Martin,Martin
Double,Double
Adam,Adam
Malaisie,Malaisie
advocas,avocat
Pierre,Pierre
Bertin,Bertin
rechef,rechef
Brioys,Brioys
confesser,confesser
afin,afin
bouche,bouche1
prinse,
icelui,celui
SAMEDI,samedi
XJe,
IIIJxx,
neuf,neuf2
estables,étable
chevaux,
comte,comte
pendu,pendre
cheville,cheville
boys,
passoit,passer1
auprez,auprès
Olive,Olive
ouvert,ouvrir1
entra,entrer
courte,court
marbré,marbré
double,double
huche,huche1
XVJ,
vestir,vestir
vendesist,vendre
ouvriers,ouvrier
faisans,faire
leurdit,sondit
Maubert,Maubert
Cheval-Blanc,Cheval-Blanc
ils,
prindrent,prendre
emblerent,embler
hanap,hanap
madre,mère
XX,vingt
hennap,hanap
Guillemin,Guillemin
Halles,Halles
Glatigny,Glatigny
retint,retenir
seurplus,surplus
valeur,
rabatu,rabattre
porcion,portion
povoit,pouvoir2
competer,compéter
appartenir,appartenir
parle,parler
reccord,recort
six,six
mucé,musser
Petit,petit
Meleun,Melun
congnoissoit,connaître
long,long
Chaalons,Châlons
Champaigne,
feri,férir1
massue,massue1
tua,ton2
entencion,entention
pençoit,penser
toutes,tout2
appliqua,appliquer
compaignons,compagnon
Castille,Castille
souperent,souper2
ensemble,ensemble
enseigne,enseigne
Escrevisse,écrevisse
Baudet,Baudet
ilz,
soupé,souper2
dirent,dire1
alassent,aller
coucher,coucher
Fain,foin
Saine,Seine
parolles,parole
meurent,mouvoir
fery,
cousteau,couteau
tuerent,tuer
lesserent,laisser
second,
bretons,Breton
assemblerent,
Arras,Arras
trouverent,trouver
qu,que
eulx,
francs,franc3
iceulx,cil
ADENET,Adenet
rattiffia,ratifier
logé,loger
chasteau,château
Mirebaut,Mirebeau
jeune,jeune1
XXIIIJ,
jeut,gésir
charnelment,charnellement
VEUES,voir1
leues,lieue
Truquam,Truquam
Miles,Miles
Rovroy,Rovroy
confessées,confesser
consideré,considérer
murdrier,meurtrier
trainé,traîner
Lesquelx,
oïz,öir
justiciez,justicier2
darrenier,dernier
tourment,tourment
moy,
Aleaume,Aleaume
Cachemarée,Cachemarée
execution,exécution
Forestier,Forestier
Soutil,Soutil
Phelipot,Philippeau
Damade,Damade
sergens,sergent1
Perrin,
venant,venir
passant,passer1
Ferté-Gaucher,Ferté-Gaucher
Dieu,Dieu
bourse,bourse
couché,coucher
hostellerie,hôtellerie
XL,quarante
beut,boire1
ouvroient,oeuvrer
aigoux,agout
evesque,évêque
Thiebaut,Thiébaut
ouvroit,oueuvrer
esdiz,en1.ledit
hayne,haine
Thibaut,Thibaut
esquelx,en1.lequel
trespassement,trépassement
longuement,longuement2
prisonniers,prisonnier
Palais,Palais
Saint-Eloy,Saint-Eloi
pene,panne1
Henry,Henri
Sauveur,
Convers,Convers
ouvrans,oeuvrer
Anfrenet,Anfrenet
tresorier,trésorier
guerres,guerre
montant,monter
depose,déposer2
seulement,seulement
gaigna,gagner
ouvra,œuvrer
sceurent,savoir1
apperceurent,apercevoir
souspeçon,soupçon
batu,batre
congneues,connaître
escript,
donné,donner
samedy,samedi
CCCIIIJxx,
vendredi,vendredi
XXIIIJe,
Mote,Mote
Caloire,Caloire
chancellier,
concierge,concierge
palays,
rapporté,rapporter
commandement,commandement
admener,amener
Bruc,Bruc
selon,
certaines,
honorable,honorable
Marle,Marle
bailli,baillir
conciergerie,conciergerie
Desquelles,de.lequel
teneur,
ensuit,ensuivre
samedi,samedi
XVIIJe,
royal,
né,naître
Redon,Redon
Bernart,Bernard
Laigny,Laigny
Gervaise,Gervais
Tartre,Tertre
verge,verge1
pourchas,pourchas
Reboutin,Reboutin
connestable,
garnison,
Saintes,Saintes
Poitou,Poitou
souspeçonne,soupçonner
Chambely,Chambly
Hauberger,Hauberger
saisi,saisir
mi-parti,mi-partir
brunette,brunette
costé,côté
rouge,
JOUR,jour
DIST,dire1
DEPOSA,déposer2
vray,vrai
IJe,
janvier,janvier
darrenierement,dernièrement
Chambly,Chambly
ensuivent,ensuivre
Item,item
vert,vert
escureux,écureuil
espée,
Monstreviller,Montrevilliers
doublé,doubler
vermeil,vermeil1
contenant,contenir
aulnes,aune
demie,demi
cuir,cuir
fourré,fourrer2
chaz,chacier
aulne,aune
violette,violet
blanches,blanc
semelées,semeler
grison,grison
pommelé,pommelé
baïart,baiart
GERVAISE,Gervaise
DU,de.le
TARTRE,Tertre
rue,rue1
Saint-Martin,Saint-Martin
denonciacion,dénonciation
menassent,menacer
Saint-Jaques,Saint-Jacques
enseigneroit,enseigner
Saint-Severin,Saint-Séverin
fouy,fuir
bouta,bouter1
moustier,moutier1
BONIFACE,Boniface
PRUNACZ,Prunac
LEDIT,ledit
FEISMES,faire
bailly,bailli
Giles,Gilles
Labat,Labat
Fredon,Fredon
feismes,
demanderions,demander
respondi,respondre1
Auquel,
demandasmes,demander
poursuy,poursuivre
gentilshommes,gentilhomme
pourquoi,pourquoi
faisions,faire
demonstrance,démontrance
Requis,requérir
oïl,oui
seel,sceau
gravé,graver1
Angers,Angers
ITEM,item
Neufve,neuf1
Nostre-Dame,Nôtre-Dame
Bourdon,Bourdon
Avecques,avec
Temple,temple
Maillez,maillet
CHOSES,chose
considerées,considérer
confession,confessïon
variacion,variation
nommez,nommer
disons,dire1
digne,
LUNDI,lundi
ensuïant,ensuivre
Enguerran,Enguerran
Vausaillon,Vauxaillon
Dubert,Dubert
Robin,Robin
Cochereau,Cochereau
deismes,dire1
avec,avec
acheté,acheter
estandre,estendre
feissions,faire
mettre,mettre
tout,tout2
plairoit,plaire
delier,délier
plene,plein
toute,tout2
pellerinage,pèlerinage
Pontoise,Pontoise
musoit,muser1
sembla,
nommer,
Jacques,Jacques
demouroit,demeurer
Lombart,Lombard
faisoit,faire
ceulx,
prestoit,prêter
celle,celle
advisa,aviser
jardin,jardin
granche,grange
desclose,déclore
eschelle,échelle
dreça,dresser
dedans,dedans
nommées,nommer
excepté,excepté
enfardela,enfardeler
emprez,emprès
elles,elle1
retourna,
querir,quérir
aporta,aporter
chez,chez
freppier,fripier
demeure,demeure
Saint-Germain,Saint-Germain
Aucerrois,Auxerrois
ymage,image
emprunté,emprunter
XXVIIJ,
par.,
taindre,teindre
brunete,brunet
baillée,bailler1
lessiée,laisser
Cigne,cygne
Saint-Jacques,Saint-Jacques
Requist,requérir
dampnement,damnement
nuls,nul
VIIJ,
IX,neuf2
demoura,demeurer
Rabaut,Rabaut
Renes,Rennes
onze,onze
boiste,boiste
mussée,musser
celier,cellier
sept,sept
Gassegnie,Gassegnie
marchans,marchand
valoient,valoir
fr.,
espées,
brydes,bride
chevaulx,cheval
Gieffroy,Geoffroy
descouvry,découvrir
Mauleon,Mauleon
VIJ,
mariée,
cousturier,couturier
Saint-Aubin,Saint-Aubin
Cormier,Cormier
jehan,Jean
Buffiere,Buffière
Chasteauneuf,Chasteauneuf
Auvergne,Auvergne
Ventadour,Ventadour
convint,
feist,faire
armeroit,
durant,durant1
pillié,piller1
robé,rober
feux,feu1
Moustiers,Moustiers
barriere,barrière
retournant,
voyages,voyage
elle,elle1
Artois,Artois
mantel,manteau
Guyenne,Guyenne
vendus,vendre
combien,combien
adviser,aviser
pourroit,pouvoir2
boucherie,boucherie1
Champs,champs
minuit,minuit
coulombier,colombier
vignes,vigne
bource,bourse
soubz,sous
chevet,chevet
dormoit,dormir
clefs,clef
cuida,cuider
deffermer,desfermer
remist,remetre
apperceust,apercevoir
chens,chien
abayerent,aboyer
murdrir,meurtrir
embler,embler
peu,peu
trouver,trouver
semblablement,semblablement
Prez,prest1
tuilleries,tuilerie
etc.,
confessé,confesser
assemblées,assemblée
chevauchées,chevauchée
jumens,
beufs,boeuf
vaches,
GUILLAUME,Guillaume
BRUC,Bruc
ottobre,octobre
Michel,Michel
Pailler,Pailler
Jean,
Ferrebouc,Ferrebouc
aprez,après
Euvangilles,évangile
escriptes,écrire
eurent,avoir1
distance,distance
articles,article
autreffois,autrefois
congneu,
neantmoins,néanmoins
vrayes,vrai
crainte,crainte
paour,peur
assistans,assistant
fais,faire
Tous,tous
denegacions,dénégation
vraye,vrai
despoiller,dépouiller
eaue,eau
instanment,instamment
accusé,accuser
chauffé,chauffer
deuement,dûment
ramené,ramener
présence,présence
recommenda,
benoite,benoît
Vierge,vierge
Trinité,trinité
Paradis,paradis
meffaiz,méfait
torfaiz,torfait
peschez,péché
voulsissent,vouloir
pardonner,pardonner
approuva,approuver
efforcement,efforcement
vrais,vrai
diminuant,diminuer
ostant,ôter
article,article
revenant,revenir
voyage,voyage
deust,devoir2
augmenta,augmenter
deposicion,déposition2
exceptez,excepter
emblée,embler
